Year,Day,Lat,Long,Magnitude,Comments,Station,P_YN,P_NG,P_JK,P_PH,P_Mean,S_YN,S_NG,S_JK,S_PH,S_Mean
1971.0,107.0,48.0,35.0,2.8,,12.0,9.6,,,10.0,9.8,212.0,,,210.0,211.0
1971.0,140.0,42.0,-24.0,2.0,,12.0,,,,,,183.0,,,183.5,183.3
1971.0,192.0,43.0,-47.0,1.9,Or lat -42 long -60,12.0,58.2,,,54.3,56.2,200.0,,,200.0,200.0
1972.0,2.0,54.0,101.0,1.9,,14.0,170.0,,,,170.0,485.0,,,,485.0
1972.0,261.0,12.0,46.0,1.0,,,,,,,,,,,,
1972.0,341.0,51.0,45.0,1.4,,,,,,,,,,,,
1972.0,344.0,-20.0,-80.0,1.2,,,,,,,,,,,,
1973.0,39.0,33.0,35.0,0.8,,,,,,,,,,,,
1973.0,72.0,-84.0,-134.0,3.2,,12.0,34.2,34.1,34.2,34.0,34.1,267.0,272.0,267.0,,268.7
1973.0,171.0,-1.0,-71.0,2.2,,12.0,56.1,55.0,56.0,,55.7,180.0,185.3,187.5,182.0,183.7
1973.0,274.0,-37.0,-29.0,1.1,,,,,,,,,,,,
1974.0,54.0,36.0,-16.0,0.7,,,,,,,,,,,,
1974.0,86.0,-48.0,-106.0,1.6,,,,,,,,,,,,
1974.0,109.0,-37.0,42.0,0.9,,,,,,,,,,,,
1974.0,149.0,,,0.6,30 degrees from station 16 on east side of station,,,,,,,,,,,
1974.0,192.0,21.0,88.0,2.7,,12.0,138.7,138.5,138.7,,138.6,459.0,,417.0,,438.0
1975.0,3.0,29.0,-98.0,3.2,,12.0,33.5,33.6,33.5,34.0,33.7,,269.0,255.0,,262.0
1975.0,12.0,75.0,40.0,1.7,,14.0,137.7,,137.5,140.0,138.4,368.0,,356.0,,362.0
1975.0,13.0,-2.0,-51.0,1.1,,,,,,,,,,,,
1975.0,44.0,-19.0,-26.0,1.4,,14.0,58.3,58.2,58.0,,58.2,108.0,107.8,108.0,,107.9
1975.0,127.0,-49.0,-45.0,1.3,,,,,,,,,,,,
1975.0,147.0,3.0,-58.0,1.4,,,,,,,,,,,,
1975.0,314.0,-8.0,64.0,1.8,,14.0,160.0,,,,160.0,370.0,,,,370.0
1976.0,4.0,50.0,30.0,1.8,,14.0,,,,,,353.0,353.8,,,353.4
1976.0,12.0,38.0,44.0,1.1,,,,,,,,,,,,
1976.0,66.0,50.0,-20.0,2.3,,12.0,118.0,110.8,110.8,,113.2,263.0,262.0,263.0,262.5,262.6
1976.0,68.0,-19.0,-12.0,1.8,,12.0,,,,,,,98.8,,,98.8
1976.0,137.0,77.0,-10.0,1.5,,,,,,,,,,,,
,,,,,,14.0,1.9,,,1.5,1.7,182.0,,,192.0,187.0
,,,,,,14.0,60.2,,,60.0,60.1,184.0,,,186.0,185.0
,,,,,,14.0,70.4,,,72.5,71.5,225.0,,,233.0,229.0
,,,,,,15.0,52.0,,,,52.0,250.0,,,,250.0
,,,,,,14.0,35.5,35.9,35.5,35.0,35.5,280.0,,272.5,,276.3
,,,,,,15.0,100.0,99.7,100.0,109.0,102.2,465.0,,398.5,,431.8
,,,,,,16.0,27.2,27.8,27.9,27.5,27.6,270.0,259.4,258.6,266.0,263.5
,,,,,,14.0,66.6,66.5,67.0,54.0,63.5,219.0,,207.5,215.0,213.8
,,,,,,15.0,147.5,145.7,147.5,156.0,149.2,360.0,,346.0,,353.0
,,,,,,16.0,190.7,198.5,191.0,,193.4,430.0,412.5,422.5,,421.7
,,,,,,14.0,128.6,125.3,128.6,128.0,127.6,439.0,,407.0,,423.0
,,,,,,15.0,57.5,56.5,57.5,57.0,57.1,255.0,,263.0,242.0,253.3
,,,,,,16.0,59.8,50.3,59.8,55.5,56.3,270.0,,270.0,240.0,260.0
,,,,,,14.0,51.2,51.3,51.2,51.0,51.2,280.0,,285.0,275.0,280.0
,,,,,,15.0,61.1,60.5,61.1,62.5,61.3,300.0,,300.0,,300.0
,,,,,,16.0,135.0,127.5,135.0,133.0,132.6,510.0,453.0,510.0,,491.0
,,,,,,15.0,20.0,,30.0,24.0,24.7,162.0,,162.0,161.0,161.7
,,,,,,16.0,124.8,,125.0,,124.9,331.0,,331.0,331.0,331.0
,,,,,,15.0,190.4,189.5,190.4,,190.1,330.0,325.0,329.5,,328.2
,,,,,,16.0,140.9,149.6,145.5,,145.3,265.0,257.0,265.0,,262.3
,,,,,,15.0,120.0,,,,120.0,300.0,,,,300.0
,,,,,,16.0,50.0,,,,50.0,180.0,,,,180.0
,,,,,,15.0,53.1,55.1,,,54.1,141.0,142.0,,,141.5
,,,,,,16.0,148.0,147.7,,,147.9,310.0,312.0,,,311.0
,,,,,,14.0,113.6,113.3,112.0,113.5,113.1,268.0,268.7,268.0,267.5,268.1
,,,,,,15.0,35.1,39.2,38.0,38.5,37.7,124.0,135.8,130.0,132.5,130.6
,,,,,,16.0,161.5,,161.0,,161.3,347.0,346.0,355.0,,349.3
,,,,,,14.0,21.8,24.2,22.0,20.0,22.0,69.0,70.3,69.0,69.0,69.3
,,,,,,15.0,138.3,141.5,141.0,139.5,140.1,272.0,272.1,273.0,271.0,272.0
,,,,,,16.0,65.0,74.9,65.0,66.0,67.7,149.0,,149.0,150.0,149.3
